"","Year","Operational.Demand..MW.","Index"
"964",2018,2656.678,964
"965",2018,2656.532,965
"966",2018,2656.334,966
"967",2018,2656.27,967
"968",2018,2656.178,968
"969",2018,2656.046,969
"970",2018,2655.884,970
"971",2018,2655.824,971
"972",2018,2655.542,972
"973",2018,2655.448,973
"974",2018,2655.264,974
"975",2018,2655.204,975
"976",2018,2654.63,976
"977",2018,2654.098,977
"978",2018,2653.764,978
"979",2018,2653.356,979
"980",2018,2653.226,980
"981",2018,2653.11,981
"982",2018,2653.02,982
"983",2018,2653.008,983
"984",2018,2653.002,984
"985",2018,2652.836,985
"986",2018,2652.07,986
"987",2018,2652.04,987
"988",2018,2652.036,988
"989",2018,2652.032,989
"990",2018,2651.818,990
"991",2018,2651.784,991
"992",2018,2651.348,992
"993",2018,2651.124,993
"994",2018,2650.974,994
"995",2018,2650.796,995
"996",2018,2650.632,996
"997",2018,2650.472,997
"998",2018,2650.084,998
"999",2018,2650.048,999
"1000",2018,2650.028,1000
"1001",2018,2649.976,1001
"1002",2018,2649.674,1002
"1003",2018,2649.534,1003
"1004",2018,2649.444,1004
"1005",2018,2649.154,1005
"1006",2018,2649.066,1006
"1007",2018,2648.956,1007
"1008",2018,2648.954,1008
"1009",2018,2648.392,1009
"1010",2018,2647.874,1010
"1011",2018,2647.492,1011
"1012",2018,2647.272,1012
"1013",2018,2647.146,1013
"1014",2018,2647.064,1014
"1015",2018,2646.214,1015
"1016",2018,2646.176,1016
"1017",2018,2646.008,1017
"1018",2018,2645.846,1018
"1019",2018,2645.59,1019
"1020",2018,2645.508,1020
"1021",2018,2644.932,1021
"1022",2018,2644.736,1022
"1023",2018,2644.17,1023
"1024",2018,2643.834,1024
"1025",2018,2643.08,1025
"1026",2018,2642.312,1026
"1027",2018,2642.268,1027
"1028",2018,2642.142,1028
"1029",2018,2641.698,1029
"1030",2018,2641.578,1030
"1031",2018,2641.342,1031
"1032",2018,2641.328,1032
"1033",2018,2641.232,1033
"1034",2018,2641.142,1034
"1035",2018,2641.13,1035
"1036",2018,2640.526,1036
"1037",2018,2639.712,1037
"1038",2018,2639.502,1038
"1039",2018,2639.484,1039
"1040",2018,2639.326,1040
"1041",2018,2639.214,1041
"1042",2018,2639.18,1042
"1043",2018,2638.858,1043
"1044",2018,2638.792,1044
"1045",2018,2638.592,1045
"1046",2018,2638.58,1046
"1047",2018,2638.126,1047
"1048",2018,2638.014,1048
"1049",2018,2637.444,1049
"1050",2018,2637.394,1050
"1051",2018,2636.972,1051
"1052",2018,2636.742,1052
"1053",2018,2636.716,1053
"1054",2018,2636.552,1054
"1055",2018,2636.344,1055
"1056",2018,2636.314,1056
"1057",2018,2636.186,1057
"1058",2018,2636.112,1058
