DateTime,energyInjectionCapacity,energyWithdrawalCapacity,contingencyRaise,contingencyLower,regulationRaise,regulationLower,rocof
2023-09-29T08:00:00Z,1750.195,0,151.152,71.006,65.001,65,18284.749
2023-09-29T08:00:00Z,1731.801,0,152.573,72.647,64.999,65,18276.296
2023-09-29T08:00:00Z,1717.195,0,152.246,72.156,65.001,65,18285.185
2023-09-29T08:00:00Z,1706.525,0,151.649,71.528,65.002,65.001,18291.736
2023-09-29T08:00:00Z,1706.194,0,149.757,69.539,65.001,65,18292.241
2023-09-29T08:00:00Z,1714.911,0,150.42,70.235,65.001,65,18298.506
2023-09-29T08:00:00Z,1732.165,0,152.573,72.634,65,65,18304.499
2023-09-29T08:00:00Z,1771.481,0,154.952,73.264,64.999,65,18307.59
2023-09-29T08:00:00Z,1839.474,0,184.917,71.894,65,65,19565.574
2023-09-29T08:00:00Z,1931.845,0,288.977,68.675,65.001,65,19578.226
2023-09-29T08:00:00Z,2012.624,0,277.816,66.86,109.999,110,20597.909
2023-09-29T08:00:00Z,2010.825,0,277.742,68.923,110.001,110,20572.162
2023-09-29T08:00:00Z,1937.906,0,276.463,69.464,109.998,110,19607.475
2023-09-29T08:00:00Z,1815.571,0,142.164,72.727,110.001,110,19602.768
2023-09-29T08:00:00Z,1633.14,0,153.722,77.085,110,110,18331.042
2023-09-29T08:00:00Z,1444.728,0,167.16,81.651,110,110,17060.388
2023-09-29T08:00:00Z,1275.565,0,170.473,86.547,110,110,16794.047
2023-09-29T08:00:00Z,1139.874,0,170.544,68.673,110.001,110,17071.215
2023-09-29T08:00:00Z,1044.581,0,169.846,32.599,109.999,110,17084.014
2023-09-29T08:00:00Z,957.694,0,169.113,10,110.001,59.712,17105.768
2023-09-29T08:00:00Z,907.65,0,168.618,10,110.002,9.668,17118.148
2023-09-29T08:00:00Z,897.982,0,173.123,10,110.001,0,16618.146
2023-09-29T08:00:00Z,897.982,0,167.76,10,110.002,0,17127.526
2023-09-29T08:00:00Z,897.982,0,167.411,10,109.999,0,17121.111
2023-09-29T08:00:00Z,897.982,0,167.057,10,110.001,0,17083.804
2023-09-29T08:00:00Z,897.982,0,166.763,10,110.001,0,17083.429
2023-09-29T08:00:00Z,944.834,0,166.527,10,110.001,46.852,17078.202
